snapshot_at,Article,Shop,Consegnato_Qty,Venduto_Qty,Periodo_Qty,Altro_Venduto_Qty,Sellout_Percent,Sellout_Clamped,Valore_1,Valore_2,Valore_3,Valore_4
2026-03-19 13:43:43+01:00,59/017CTM,PD,4.0,1.0,0.0,1.0,25.0,25.0,166.0,119.0,0.0,41.0
2026-03-19 13:43:43+01:00,59/017CTM,PM,6.0,2.0,0.0,5.0,33.0,33.0,248.0,244.0,0.0,207.0
2026-03-19 13:43:43+01:00,59/017CTM,RI,6.0,1.0,0.0,3.0,17.0,17.0,248.0,122.0,0.0,124.0
2026-03-19 13:43:43+01:00,59/017CTM,RM,6.0,1.0,1.0,5.0,17.0,17.0,248.0,0.0,0.0,207.0
2026-03-19 13:43:43+01:00,59/017CTM,SM,4.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017CTM,TV,5.0,4.0,3.0,5.0,80.0,80.0,207.0,452.0,330.0,207.0
2026-03-19 13:43:43+01:00,59/017CTM,VR,6.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017CTM,WEB,0.0,3.0,2.0,0.0,41.0,41.0,3974.0,4406.0,1747.0,2236.0
2026-03-19 13:43:43+01:00,59/017PNE,AR,12.0,11.0,3.0,5.0,92.0,92.0,431.0,1219.0,308.0,180.0
2026-03-19 13:43:43+01:00,59/017PNE,AU,6.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017PNE,BO,12.0,15.0,3.0,4.0,125.0,100.0,431.0,1629.0,308.0,144.0
2026-03-19 13:43:43+01:00,59/017PNE,BS,12.0,9.0,1.0,5.0,75.0,75.0,431.0,1014.0,103.0,180.0
2026-03-19 13:43:43+01:00,59/017PNE,CA,6.0,10.0,5.0,4.0,167.0,100.0,215.0,1082.0,512.0,144.0
2026-03-19 13:43:43+01:00,59/017PNE,CO,12.0,6.0,3.0,4.0,50.0,50.0,431.0,638.0,296.0,144.0
2026-03-19 13:43:43+01:00,59/017PNE,EU,12.0,19.0,2.0,7.0,158.0,100.0,431.0,2131.0,205.0,251.0
2026-03-19 13:43:43+01:00,59/017PNE,LN,12.0,7.0,1.0,3.0,58.0,58.0,431.0,786.0,103.0,108.0
2026-03-19 13:43:43+01:00,59/017PNE,M4,1.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017PNE,MC,12.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017PNE,ME2,6.0,1.0,0.0,0.0,17.0,17.0,215.0,114.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/017PNE,MI,12.0,2.0,0.0,0.0,17.0,17.0,431.0,200.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/017PNE,MR,0.0,0.0,0.0,1.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017PNE,NV,12.0,10.0,1.0,3.0,83.0,83.0,431.0,1105.0,103.0,108.0
2026-03-19 13:43:43+01:00,59/017PNE,OR,12.0,7.0,2.0,4.0,58.0,58.0,431.0,775.0,205.0,144.0
2026-03-19 13:43:43+01:00,59/017PNE,PD,12.0,1.0,0.0,0.0,8.0,8.0,431.0,103.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/017PNE,PM,12.0,2.0,0.0,5.0,17.0,17.0,431.0,228.0,0.0,180.0
2026-03-19 13:43:43+01:00,59/017PNE,RI,12.0,11.0,2.0,5.0,92.0,92.0,431.0,1208.0,205.0,180.0
2026-03-19 13:43:43+01:00,59/017PNE,RM,12.0,9.0,4.0,3.0,75.0,75.0,431.0,925.0,390.0,108.0
2026-03-19 13:43:43+01:00,59/017PNE,SC,12.0,3.0,1.0,3.0,25.0,25.0,431.0,330.0,103.0,108.0
2026-03-19 13:43:43+01:00,59/017PNE,TV,6.0,4.0,1.0,3.0,67.0,67.0,215.0,444.0,103.0,108.0
2026-03-19 13:43:43+01:00,59/017PNE,VR,12.0,6.0,1.0,3.0,50.0,50.0,431.0,661.0,103.0,108.0
2026-03-19 13:43:43+01:00,59/017PNE,WEB,0.0,20.0,2.0,0.0,71.0,71.0,7792.0,16939.0,3238.0,2191.0
2026-03-19 13:43:43+01:00,59/019PNE,AR,6.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/019PNE,CO,6.0,1.0,0.0,0.0,17.0,17.0,425.0,108.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/019PNE,EU,6.0,5.0,0.0,4.0,83.0,83.0,425.0,826.0,0.0,283.0
2026-03-19 13:43:43+01:00,59/019PNE,M4,1.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/019PNE,NV,6.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/019PNE,RI,6.0,5.0,3.0,4.0,83.0,83.0,425.0,682.0,323.0,283.0
2026-03-19 13:43:43+01:00,59/019PNE,RM,6.0,6.0,0.0,3.0,100.0,100.0,425.0,933.0,0.0,212.0
2026-03-19 13:43:43+01:00,59/019PNE,WEB,0.0,5.0,4.0,2.0,62.0,62.0,2619.0,3231.0,682.0,779.0
2026-03-19 13:43:43+01:00,59/0215CVBN,AR,6.0,1.0,0.0,0.0,17.0,17.0,299.0,122.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0215CVBN,BO,6.0,2.0,0.0,0.0,33.0,33.0,299.0,244.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0215CVBN,BS,6.0,6.0,1.0,4.0,100.0,100.0,299.0,708.0,98.0,200.0
2026-03-19 13:43:43+01:00,59/0215CVBN,CA,0.0,1.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0215CVBN,EU,6.0,2.0,0.0,3.0,33.0,33.0,299.0,244.0,0.0,150.0
2026-03-19 13:43:43+01:00,59/0215CVBN,LN,6.0,4.0,0.0,3.0,67.0,67.0,299.0,489.0,0.0,150.0
2026-03-19 13:43:43+01:00,59/0215CVBN,PM,6.0,3.0,0.0,0.0,50.0,50.0,299.0,342.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0215CVBN,RI,6.0,3.0,0.0,2.0,50.0,50.0,299.0,366.0,0.0,100.0
2026-03-19 13:43:43+01:00,59/0215CVBN,RM,6.0,1.0,0.0,0.0,17.0,17.0,299.0,122.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0215CVBN,VR,6.0,6.0,0.0,2.0,100.0,100.0,299.0,708.0,0.0,100.0
2026-03-19 13:43:43+01:00,59/0215CVBN,WEB,0.0,7.0,2.0,0.0,72.0,72.0,2694.0,4543.0,293.0,698.0
