Article,Size,Qty,From,To,Reason
59/0215CVBN,39,1,VR,RI,Top-up to target
59/0215CVBN,38,1,RI,PM,Top-up to target
59/0215CVBN,39,1,RI,PM,Top-up to target
59/0215CVBN,38,1,PM,LN,Top-up to target
59/0215CVBN,39,1,VR,LN,Top-up to target
59/0215CVBN,40,1,VR,LN,Top-up to target
59/0215CVBN,38,1,LN,CA,Top-up to target
59/0215CVBN,39,1,LN,CA,Top-up to target
59/0215CVBN,38,1,CA,AU,Fallback to outlet (unfillable run)
59/0215CVBN,40,1,LN,AU,Fallback to outlet (unfillable run)
59/0215NBTM,36,1,RM,EU,Fill required run
59/0215NBTM,37,1,SC,EU,Fill required run
59/0215NBTM,37,1,CA,EU,Top-up to target
59/0215NBTM,38,1,AU,EU,Top-up to target
59/0215NBTM,39,1,SD,EU,Top-up to target
59/0215NBTM,40,1,MC,EU,Top-up to target
59/0215NBTM,41,1,TV,EU,Top-up to target
59/0215NBTM,36,1,EU,AR,Fill required run
59/0215NBTM,37,1,ME2,AR,Top-up to target
59/0215NBTM,38,1,MC,AR,Top-up to target
59/0215NBTM,39,1,AU,AR,Top-up to target
59/0215NBTM,40,1,PD,AR,Top-up to target
59/0215NBTM,41,1,PD,AR,Top-up to target
59/0215NBTM,36,1,AR,RM,Fill required run
59/0215NBTM,37,1,LN,RM,Top-up to target
59/0215NBTM,36,1,RM,BS,Fill required run
59/0215NBTM,37,1,PM,BS,Top-up to target
59/0215NBTM,38,1,SC,BS,Top-up to target
59/0215NBTM,39,1,MC,BS,Top-up to target
59/0215NBTM,40,1,LN,BS,Top-up to target
59/0215NBTM,41,1,OR,BS,Top-up to target
59/0215NBTM,37,1,RI,NV,Top-up to target
59/0215NBTM,38,1,SM,NV,Top-up to target
59/0215NBTM,39,1,SC,NV,Top-up to target
59/0215NBTM,37,1,NV,VR,Top-up to target
59/0215NBTM,41,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,37,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,37,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,38,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,38,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,39,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,39,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,39,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,39,1,AR,MC,Fallback to outlet (unfillable run)
59/0215NBTM,41,1,BO,MC,Fallback to outlet (unfillable run)
59/0215NBTM,37,1,BO,MC,Fallback to outlet (unfillable run)
59/0215NBTM,38,1,BO,MC,Fallback to outlet (unfillable run)
59/0215NBTM,39,1,BO,MC,Fallback to outlet (unfillable run)
59/0215NBTM,38,1,CA,MC,Fallback to outlet (unfillable run)
59/0215NBTM,37,1,CO,MC,Fallback to outlet (unfillable run)
59/0215NBTM,38,1,CO,MC,Fallback to outlet (unfillable run)
59/0215NBTM,41,1,EU,MC,Fallback to outlet (unfillable run)
59/0215NBTM,41,1,EU,MC,Fallback to outlet (unfillable run)
59/0215NBTM,37,1,EU,MC,Fallback to outlet (unfillable run)
59/0215NBTM,37,1,EU,MC,Fallback to outlet (unfillable run)
59/0215NBTM,38,1,EU,MC,Fallback to outlet (unfillable run)
59/0215NBTM,38,1,EU,MC,Fallback to outlet (unfillable run)
59/0215NBTM,39,1,EU,MC,Fallback to outlet (unfillable run)
